# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: B5C7A4, 1wt% Ru, 2017-08-27-B
# Catalyst mass: 1.030000 
filename: BCA574_2018-08-31-01.csv 
current working directory: /home/research/Differential_Reactor/diff-react-2018-08-31 
Catalyst_Description: B5C7A4, 1wt% Ru, 2017-08-27-B


********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.0, | , 23.2, 0.0, 19.6, | ,     0,  -325,     0,   -14, | , -3.4, -2420.7, 1.962, |, 0.0
1.0, -0.1, | , 23.2, 0.0, 19.7, | ,     0,  -324,     0,   -22, | , -3.4, -2420.3, 2.005, |, 0.0
2.0, -0.0, | , 23.2, 0.0, 19.2, | ,     0,  -322,     0,   -22, | , -3.4, -2420.3, 1.991, |, 0.0
3.0, -0.1, | , 23.2, 0.0, 19.5, | ,     0,  -323,     0,   -11, | , -3.4, -2420.3, 1.931, |, 0.0
4.0, -0.1, | , 23.2, 0.0, 16.8, | ,     0,  -324,     0,    -1, | , -3.4, -2421.2, 1.888, |, 0.0
5.0, -0.1, | , 23.2, 0.0, 19.4, | ,     0,  -324,     0,   -18, | , -3.4, -2420.3, 1.979, |, 0.0
6.0, -0.0, | , 23.2, 0.0, 19.7, | ,     0,  -319,     0,   -19, | , -3.4, -2420.7, 1.955, |, 0.0
6.9, -0.0, | , 23.2, 0.0, 19.4, | ,     0,  -324,     0,   -34, | , -3.4, -2420.7, 2.077, |, 0.0
7.9, -0.0, | , 23.2, 0.0, 18.2, | ,     0,  -322,     0,   -18, | , -3.4, -2396.8, 1.951, |, 0.0
8.9, -0.0, | , 23.2, 0.0, 19.4, | ,     0,  -320,     0,    10, | , -3.4,  -8.6, 0.006, |, 0.0
9.9, 0.0, | , 23.2, 0.0, 19.3, | ,     0,  -321,     0,     7, | , -3.4,  -7.7, 0.006, |, 0.0
10.9, -0.0, | , 23.2, 0.0, 18.8, | ,     0,  -318,     0,   -25, | , -3.4,  -7.3, 0.006, |, 0.0
11.9, 0.0, | , 23.2, 0.0, 19.2, | ,     0,  -324,     0,   -22, | , -3.4,  -7.3, 0.006, |, 0.0
12.9, -0.0, | , 23.2, 0.0, 17.1, | ,     0,  -325,     0,   -21, | , -3.4,  12.4, -0.010, |, 0.0
13.9, -0.0, | , 23.2, 0.0, 18.7, | ,     0,  -320,     0,    -8, | , -3.4, -18.9, 0.015, |, 0.0
14.9, -0.0, | , 23.2, 0.0, 18.8, | ,     0,  -322,     0,   -14, | , -3.4,  17.5, -0.014, |, 0.0
