# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: B2CA 2017-06-07-01, 1wt% Ru by drying oven, small cup.
# Catalyst mass: 0.808000 
filename: B2CA_RubyDry_2017-07-05-01.txt 
current working directory: /home/research/python/diff-react-2017-07-05 
Catalyst_Description: B2CA 2017-06-07-01, 1wt% Ru by drying oven, small cup.
Notes: B2CA made in large batch, 1 wt% Ru added by adding all 155grams to 1+ liters of acetone RuCl solution, then drying in dry oven. Powder sat in solution for over a day prior to drying

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
2470.7, 136.6, | , 26.3, 7.6, 348.0, | ,  1000,   953,  3000,  2946, | , -3.4,  35.1, 0.416, |, 8.5
2471.7, 136.8, | , 26.3, 8.9, 349.3, | ,  1000,   952,  3000,  2911, | , -3.4,  36.0, 0.422, |, 9.4
2472.7, 137.6, | , 26.3, -0.5, 341.7, | ,  1000,   953,  3000,  2937, | , -3.4,  36.4, 0.430, |, 0.8
2473.7, 136.6, | , 26.3, 8.0, 348.9, | ,  1000,   952,  3000,  2938, | , -3.4,  38.1, 0.450, |, 8.7
2474.7, 136.8, | , 26.3, 6.9, 348.0, | ,  1000,   955,  3000,  2948, | , -3.4,  36.0, 0.426, |, 7.7
2475.7, 137.1, | , 26.3, 8.6, 349.5, | ,  1000,   956,  3000,  2932, | , -3.4,  46.7, 0.551, |, 9.5
2586.8, 137.0, | , 26.3, 9.1, 365.4, | ,  1000,   955,  3000,  2928, | , -3.4, 135.8, 1.601, |, 9.5
2587.8, 137.1, | , 26.3, 9.1, 365.0, | ,  1000,   950,  3000,  2923, | , -3.4, 110.5, 1.300, |, 9.3
2588.8, 136.6, | , 26.3, 8.3, 365.2, | ,  1000,   955,  3000,  2933, | , -3.4, 110.1, 1.299, |, 9.1
2589.9, 136.7, | , 26.3, 8.4, 365.2, | ,  1000,   955,  3000,  2935, | , -3.4, 113.1, 1.335, |, 9.0
2590.9, 137.2, | , 26.3, 7.4, 364.8, | ,  1000,   954,  3000,  2933, | , -3.4, 134.1, 1.582, |, 8.3
2591.9, 136.6, | , 26.3, 8.6, 365.4, | ,  1000,   953,  3000,  2918, | , -3.4, 115.7, 1.359, |, 8.9
2592.9, 136.7, | , 26.3, 8.3, 365.7, | ,  1000,   959,  3000,  2918, | , -3.4, 116.1, 1.366, |, 8.7
2593.9, 137.2, | , 26.3, 9.1, 366.3, | ,  1000,   953,  3000,  2933, | , -3.4, 116.1, 1.369, |, 9.6
2594.9, 137.2, | , 26.3, 9.1, 366.4, | ,  1000,   950,  3000,  2926, | , -3.4, 114.8, 1.351, |, 9.4
2595.9, 136.8, | , 26.3, 7.3, 364.6, | ,  1000,   950,  3000,  2913, | , -3.4, 146.5, 1.718, |, 7.9
2596.9, 136.7, | , 26.3, 8.4, 366.7, | ,  1000,   954,  3000,  2922, | , -3.4, 119.5, 1.406, |, 8.7
2597.9, 136.6, | , 26.3, 8.2, 366.4, | ,  1000,   955,  3000,  2933, | , -3.4, 113.9, 1.345, |, 9.0
2598.9, 137.0, | , 26.3, 9.1, 367.1, | ,  1000,   952,  3000,  2939, | , -3.4, 113.9, 1.346, |, 9.1
2600.0, 136.7, | , 26.3, 8.3, 367.0, | ,  1000,   953,  3000,  2951, | , -3.4, 115.7, 1.371, |, 9.1
2601.0, 136.9, | , 26.3, 7.0, 366.0, | ,  1000,   959,  3000,  2929, | , -3.4, 116.5, 1.375, |, 8.1
2602.0, 137.1, | , 26.3, 8.7, 366.9, | ,  1000,   958,  3000,  2917, | , -3.4, 117.8, 1.386, |, 9.2
2603.0, 137.6, | , 26.3, -0.6, 360.1, | ,  1000,   949,  3000,  2935, | , -3.4, 123.4, 1.455, |, 1.1
2604.0, 136.6, | , 26.3, 8.5, 367.4, | ,  1000,   954,  3000,  2907, | , -3.4, 133.7, 1.566, |, 9.1
2605.0, 137.0, | , 26.3, 8.7, 367.5, | ,  1000,   955,  3000,  2930, | , -3.4, 135.4, 1.597, |, 8.9
2606.0, 136.9, | , 26.3, 7.2, 366.6, | ,  1000,   956,  3000,  2914, | , -3.4, 125.1, 1.469, |, 7.8
2607.0, 136.7, | , 26.3, 8.4, 367.3, | ,  1000,   955,  3000,  2926, | , -3.4, 125.5, 1.479, |, 8.3
2608.0, 138.1, | , 26.3, -7.4, 355.6, | ,  1000,   950,  3000,  2898, | , -3.4, 133.2, 1.556, |, -4.2
2609.0, 137.0, | , 26.3, 8.9, 367.9, | ,  1000,   952,  3000,  2933, | , -3.4, 131.9, 1.556, |, 9.4
2610.0, 136.7, | , 26.3, 8.4, 367.7, | ,  1000,   954,  3000,  2920, | , -3.4, 132.4, 1.557, |, 9.0
2611.1, 136.9, | , 26.3, 7.2, 366.9, | ,  1000,   956,  3000,  2948, | , -3.4, 152.9, 1.812, |, 7.4
2612.1, 136.7, | , 26.3, 8.5, 368.6, | ,  1000,   956,  3000,  2918, | , -3.4, 160.6, 1.889, |, 8.8
2613.1, 137.0, | , 26.3, 0.9, 360.3, | ,  1000,   955,  3000,  2940, | , -3.4, 162.8, 1.925, |, -1.1
2614.1, 136.6, | , 26.3, 8.5, 368.5, | ,  1000,   957,  3000,  2908, | , -3.4, 140.1, 1.643, |, 8.9
2615.1, 136.8, | , 26.3, 8.5, 368.6, | ,  1000,   955,  3000,  2921, | , -3.4, 146.9, 1.729, |, 8.9
2616.1, 136.8, | , 26.3, 7.7, 367.9, | ,  1000,   955,  3000,  2912, | , -3.4, 140.5, 1.649, |, 8.1
2617.1, 136.9, | , 26.3, 9.0, 369.2, | ,  1000,   957,  3000,  2943, | , -3.4, 138.4, 1.638, |, 9.4
