# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: B4C8A4, 1wt% Ru, 2017-08-27-C
# Catalyst mass: 1.030000 
filename: BCA484_2018-09-04-01.csv 
current working directory: /home/research/Differential_Reactor/diff-react-2018-09-04 
Catalyst_Description: B4C8A4, 1wt% Ru, 2017-08-27-C


********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.0, | , 23.6, 0.0, 12.8, | ,     0,  -325,     0,   -15, | , -3.4, -2420.3, 1.971, |, 0.0
1.0, -0.0, | , 23.6, 0.0, 16.7, | ,     0,  -323,     0,    -6, | , -3.4, -2419.9, 1.905, |, 0.0
2.0, -0.1, | , 23.6, 0.0, 16.5, | ,     0,  -324,     0,    -7, | , -3.4, -2419.9, 1.917, |, 0.0
3.0, -0.1, | , 23.6, 0.0, 16.7, | ,     0,  -317,     0,   -11, | , -3.4, -2419.9, 1.902, |, 0.0
4.0, -0.1, | , 23.6, 0.0, 16.8, | ,     0,  -324,     0,    -5, | , -3.4, -2419.5, 1.904, |, 0.0
5.0, -0.1, | , 23.6, 0.0, 16.4, | ,     0,  -323,     0,    -4, | , -3.4, -2419.9, 1.893, |, 0.0
6.0, -0.1, | , 23.6, 0.0, 15.5, | ,     0,  -322,     0,    -3, | , -3.4, -2419.9, 1.881, |, 0.0
6.9, -0.0, | , 23.6, 0.0, 14.6, | ,     0,  -324,     0,    -6, | , -3.4, -2419.9, 1.908, |, 0.0
7.9, -0.1, | , 23.6, 0.0, 16.6, | ,     0,  -322,     0,   -11, | , -3.4, -2419.9, 1.933, |, 0.0
8.9, -0.0, | , 23.6, 0.0, 14.2, | ,     0,  -322,     0,    -7, | , -3.4, -2420.7, 1.905, |, 0.0
9.9, -0.1, | , 23.6, 0.0, 16.0, | ,     0,  -322,     0,   -11, | , -3.4, -2420.3, 1.929, |, 0.0
10.9, -0.0, | , 23.6, 0.0, 16.4, | ,     0,  -323,     0,     3, | , -3.4, -2419.9, 1.847, |, 0.0
11.9, -0.0, | , 23.6, 0.0, 13.5, | ,     0,  -323,     0,    -4, | , -3.4, -2420.7, 1.894, |, 0.0
12.9, -0.1, | , 23.6, 0.0, 12.5, | ,     0,  -325,     0,   -12, | , -3.4, -2420.3, 1.954, |, 0.0
13.9, -0.1, | , 23.6, 0.0, 11.9, | ,     0,  -324,     0,    -4, | , -3.4, -2419.9, 1.900, |, 0.0
14.8, -0.0, | , 23.6, 0.0, 15.3, | ,     0,  -323,     0,   -11, | , -3.4, -2420.3, 1.931, |, 0.0
15.8, -0.1, | , 23.6, 0.0, 16.0, | ,     0,  -324,     0,    -8, | , -3.4, -2420.3, 1.926, |, 0.0
16.8, -0.1, | , 23.6, 0.0, 9.3, | ,     0,  -324,     0,    -4, | , -3.4, -2421.2, 1.904, |, 0.0
17.8, -0.0, | , 23.6, 0.0, 13.7, | ,     0,  -321,     0,    -4, | , -3.4, -2420.7, 1.887, |, 0.0
18.8, -0.1, | , 23.6, 0.0, 13.6, | ,     0,  -326,     0,   -14, | , -3.4, -2420.7, 1.971, |, 0.0
19.8, -0.0, | , 23.6, 0.0, 8.9, | ,     0,  -324,     0,   -11, | , -3.4, -2420.7, 1.947, |, 0.0
20.8, -0.1, | , 23.6, 0.0, 13.4, | ,     0,  -323,     0,   -11, | , -3.4, -2420.3, 1.931, |, 0.0
21.8, -0.0, | , 23.6, 0.0, 11.4, | ,     0,  -324,     0,    -4, | , -3.4, -2420.7, 1.900, |, 0.0
22.8, -0.0, | , 23.6, 0.0, 12.8, | ,     0,  -323,     0,    -6, | , -3.4, -2420.3, 1.903, |, 0.0
23.8, -0.0, | , 23.6, 0.0, 10.1, | ,     0,  -323,     0,    -1, | , -3.4, -2420.7, 1.876, |, 0.0
24.7, -0.0, | , 23.6, 0.0, 10.4, | ,     0,  -324,     0,     1, | , -3.4, -2420.7, 1.869, |, 0.0
25.7, -0.0, | , 23.6, 0.0, 11.9, | ,     0,  -322,     0,    -6, | , -3.4, -2421.2, 1.899, |, 0.0
26.7, -0.1, | , 23.6, 0.0, 11.6, | ,     0,  -323,     0,    -8, | , -3.4, -2420.7, 1.919, |, 0.0
27.7, -0.0, | , 23.6, 0.0, 11.1, | ,     0,  -324,     0,     9, | , -3.4, -2421.2, 1.822, |, 0.0
28.7, -0.0, | , 23.6, 0.0, 11.7, | ,     0,  -324,     0,    -7, | , -3.4, -2420.7, 1.919, |, 0.0
29.7, -0.0, | , 23.6, 0.0, 13.5, | ,     0,  -326,     0,     0, | , -3.4, -2420.7, 1.887, |, 0.0
