# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: Test of 2017-07-29-D catalyst, BCA 532, 1wt% Ru by wet impregnation, powder
# Catalyst mass: 0.931000 
filename: BCA532_2017-08-02-01.txt 
current working directory: /home/research/python/diff-react-2017-08-02 
Catalyst_Description: Test of 2017-07-29-D catalyst, BCA 532, 1wt% Ru by wet impregnation, powder
Notes: 1 wt% Ru by wet impregnation, straight out of the furnace from reduction treatment

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.4, | , 20.4, 0.0, 9.6, | ,     0,  -284,     0,  -123, | , -3.4, -2422.0, 2.608, |, 0.0
1.0, -0.4, | , 20.4, 0.0, 9.5, | ,     0,  -287,     0,  -134, | , -3.4, -2421.6, 2.696, |, 0.0
2.0, -0.4, | , 20.4, 0.0, 9.0, | ,     0,  -287,     0,  -134, | , -3.4, -2421.2, 2.698, |, 0.0
3.0, -0.4, | , 20.4, 0.0, 9.5, | ,     0,  -276,     0,  -122, | , -3.4, -2421.6, 2.550, |, 0.0
4.0, -0.4, | , 20.4, 0.0, 9.6, | ,     0,  -287,     0,  -110, | , -3.4, -2421.6, 2.547, |, 0.0
5.0, -0.4, | , 20.4, 0.0, 8.3, | ,     0,  -284,     0,  -127, | , -3.4, -2422.0, 2.631, |, 0.0
6.0, -0.4, | , 20.4, 0.0, 8.6, | ,     0,  -281,     0,  -134, | , -3.4, -2421.2, 2.658, |, 0.0
7.0, -0.4, | , 20.4, 0.0, 8.3, | ,     0,  -282,     0,  -122, | , -3.4, -2421.6, 2.586, |, 0.0
8.1, -0.4, | , 20.4, 0.0, 8.7, | ,     0,  -285,     0,  -112, | , -3.4, -2421.6, 2.548, |, 0.0
9.1, -0.3, | , 20.4, 0.0, 8.6, | ,     0,  -288,     0,  -116, | , -3.4, -2421.6, 2.591, |, 0.0
10.2, -0.4, | , 20.4, 0.0, 8.0, | ,     0,  -286,     0,  -124, | , -3.4, -2421.6, 2.627, |, 0.0
