# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: B2CA 2017-07-12 powder, 1wt% Ru by dry oven, small cup.
# Catalyst mass: 0.863000 
filename: B2CA_7-12_dryoven_2017-07-19-01.txt 
current working directory: /home/research/python/diff-react-2017-07-19 
Catalyst_Description: B2CA 2017-07-12 powder, 1wt% Ru by dry oven, small cup.
Notes: drying oven may have put more Ru on compared to yesterday IW sample

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.5, | , 23.4, 0.0, 15.7, | ,     0,  -286,     0,  -129, | , -3.4, -2420.3, 2.868, |, 0.0
1.0, -0.4, | , 23.4, 0.0, 15.6, | ,     0,  -286,     0,  -112, | , -3.4, -2419.9, 2.751, |, 0.0
2.0, -0.5, | , 23.4, 0.0, 15.6, | ,     0,  -287,     0,  -148, | , -3.4, -2420.3, 3.003, |, 0.0
3.0, -0.4, | , 23.4, 0.0, 15.5, | ,     0,  -287,     0,  -146, | , -3.4, -2420.3, 2.989, |, 0.0
4.0, -0.5, | , 23.4, 0.0, 15.5, | ,     0,  -290,     0,  -110, | , -3.4, -2420.3, 2.766, |, 0.0
5.0, -0.5, | , 23.4, 0.0, 15.0, | ,     0,  -292,     0,  -157, | , -3.4, -2420.3, 3.102, |, 0.0
6.0, -0.4, | , 23.4, 0.0, 15.8, | ,     0,  -287,     0,  -138, | , -3.4, -2420.3, 2.932, |, 0.0
7.1, -0.5, | , 23.4, 0.0, 15.5, | ,     0,  -291,     0,  -151, | , -3.4, -2419.9, 3.055, |, 0.0
8.1, -0.5, | , 23.4, 0.0, 15.2, | ,     0,  -287,     0,  -144, | , -3.4, -2420.3, 2.976, |, 0.0
9.1, -0.4, | , 23.4, 0.0, 15.6, | ,     0,  -288,     0,  -144, | , -3.4, -2419.9, 2.986, |, 0.0
10.1, -0.4, | , 23.4, 0.0, 14.7, | ,     0,  -287,     0,  -106, | , -3.4, -2420.3, 2.717, |, 0.0
11.1, -0.5, | , 23.4, 0.0, 14.9, | ,     0,  -287,     0,  -137, | , -3.4, -2420.3, 2.927, |, 0.0
12.1, -0.4, | , 23.4, 0.0, 14.6, | ,     0,  -288,     0,  -109, | , -3.4, -2421.2, 2.748, |, 0.0
13.1, -0.5, | , 23.4, 0.0, 15.9, | ,     0,  -287,     0,  -149, | , -3.4, -2419.9, 3.010, |, 0.0
14.1, -0.5, | , 23.4, 0.0, 15.5, | ,     0,  -282,     0,  -127, | , -3.4, -2420.7, 2.832, |, 0.0
15.1, -0.5, | , 23.4, 0.0, 15.2, | ,     0,  -290,     0,  -133, | , -3.4, -2420.3, 2.924, |, 0.0
16.1, -0.5, | , 23.4, 0.0, 14.6, | ,  5000,  -282,  1000,  -151, | , -3.4, -2420.3, 2.990, |, 0.0
17.1, -0.2, | , 23.4, 0.0, 15.2, | ,  5000,  4845,  1000,  1267, | , -3.4, -2420.3, -42.148, |, 0.0
18.2, -0.2, | , 23.4, 0.0, 15.4, | ,  5000,  4835,  1000,   998, | , -3.4, -2420.3, -40.228, |, 0.0
19.2, -0.1, | , 23.4, 0.0, 15.7, | ,  5000,  4833,  1000,   971, | , -3.4, -2419.9, -40.016, |, 0.0
20.2, -0.0, | , 23.4, 0.0, 15.6, | ,  5000,  4837,  1000,   989, | , -3.4, -2419.9, -40.167, |, 0.0
21.2, -0.0, | , 23.4, 0.0, 15.3, | ,  5000,  4838,  1000,   978, | , -3.4, -2420.3, -40.112, |, 0.0
22.2, 0.0, | , 23.5, 0.0, 14.9, | ,  5000,  4842,  1000,   978, | , -3.4, -2420.3, -40.140, |, 0.0
23.2, 0.0, | , 23.5, 0.0, 15.8, | ,  5000,  4844,  1000,   980, | , -3.4, -2419.9, -40.157, |, 0.0
24.2, 0.0, | , 23.5, 0.0, 15.6, | ,  5000,  4841,  1000,   972, | , -3.4, -2419.9, -40.078, |, 0.0
25.2, 0.0, | , 23.5, 0.0, 15.5, | ,  5000,  4844,  1000,   989, | , -3.4, -2420.3, -40.224, |, 0.0
26.2, 0.0, | , 23.5, 0.0, 15.3, | ,  5000,  4840,  1000,   986, | , -3.4, -2420.3, -40.176, |, 0.0
27.2, 0.0, | , 23.5, 0.0, 15.1, | ,  5000,  4842,  1000,   991, | , -3.4, -2420.3, -40.223, |, 0.0
28.2, 0.0, | , 23.5, 0.0, 15.3, | ,  5000,  4843,  1000,   986, | , -3.4, -2420.3, -40.191, |, 0.0
29.3, 0.0, | , 23.5, 0.0, 15.7, | ,  5000,  4842,  1000,   988, | , -3.4, -2419.9, -40.194, |, 0.0
30.3, 0.0, | , 23.5, 0.0, 15.5, | ,  5000,  4841,  1000,   970, | , -3.4, -2419.9, -40.064, |, 0.0
31.3, 0.0, | , 23.5, 0.0, 15.6, | ,  5000,  4842,  1000,   969, | , -3.4, -2420.3, -40.072, |, 0.0
32.3, 0.0, | , 23.5, 0.0, 14.9, | ,  5000,  4841,  1000,   990, | , -3.4, -2420.3, -40.207, |, 0.0
33.3, 0.0, | , 23.5, 0.0, 15.5, | ,  5000,  4840,  1000,   975, | , -3.4, -2419.9, -40.093, |, 0.0
34.3, 0.0, | , 23.5, 0.0, 15.9, | ,  5000,  4844,  1000,   984, | , -3.4, -2419.9, -40.182, |, 0.0
35.3, 0.0, | , 23.5, 0.0, 11.2, | ,  5000,  4841,  1000,   970, | , -3.4, -2421.2, -40.083, |, 0.0
36.3, 0.0, | , 23.5, 0.0, 11.6, | ,  5000,  4848,  1000,   982, | , -3.4, -2421.2, -40.215, |, 0.0
37.3, -0.0, | , 23.5, 0.0, 10.6, | ,  5000,  4840,  1000,   964, | , -3.4, -2421.2, -40.043, |, 0.0
38.3, 0.0, | , 23.5, 0.0, 11.1, | ,  5000,  4843,  1000,   984, | , -3.4, -2421.2, -40.199, |, 0.0
39.4, 0.0, | , 23.5, 0.0, 7.4, | ,  5000,  4839,  1000,   978, | , -3.4, -2422.0, -40.139, |, 0.0
40.4, 0.4, | , 23.5, 0.0, 11.2, | ,  5000,  4850,  1000,   971, | , -3.4, -2420.7, -40.143, |, 0.0
41.4, 1.0, | , 23.5, 0.0, 8.1, | ,  5000,  4848,  1000,   997, | , -3.4, -2421.6, -40.328, |, 0.0
42.4, 1.6, | , 23.5, 0.0, 7.6, | ,  5000,  4844,  1000,  1000, | , -3.4, -2421.6, -40.321, |, 0.0
43.4, 2.1, | , 23.5, 0.0, 7.6, | ,  5000,  4851,  1000,  1003, | , -3.4, -2422.0, -40.394, |, 0.0
44.4, 2.6, | , 23.5, 0.0, 10.9, | ,  5000,  4853,  1000,  1007, | , -3.4, -2421.2, -40.424, |, 0.0
45.4, 3.1, | , 23.5, 0.0, 11.0, | ,  5000,  4853,  1000,  1010, | , -3.4, -2420.7, -40.439, |, 0.0
46.4, 3.6, | , 23.5, 0.0, 11.6, | ,  5000,  4851,  1000,  1008, | , -3.4, -2421.2, -40.420, |, 0.0
47.5, 4.1, | , 23.5, 0.0, 11.2, | ,  5000,  4731,  1000,  1017, | , -3.4, -2421.2, -39.656, |, 0.0
48.5, 4.6, | , 23.5, 0.0, 11.8, | ,  5000,  4782,  1000,   902, | , -3.4, -2420.7, -39.205, |, 0.0
49.5, 4.9, | , 23.5, 0.0, 15.3, | ,  5000,  4808,  1000,   538, | , -3.4, -2421.2, -36.878, |, 0.0
50.5, 5.5, | , 23.5, 0.0, 15.2, | ,  5000,  4830,  1000,   797, | , -3.4, -2420.3, -38.803, |, 0.0
51.5, 6.0, | , 23.5, 0.0, 10.8, | ,  5000,  4838,  1000,   848, | , -3.4, -2420.3, -39.209, |, 0.0
52.5, 6.4, | , 23.5, 0.0, 9.0, | ,  5000,  4843,  1000,   903, | , -3.4, -2420.3, -39.620, |, 0.0
53.5, 7.0, | , 23.5, 0.0, 14.6, | ,  5000,  4850,  1000,   947, | , -3.4, -2420.7, -39.979, |, 0.0
54.5, 7.4, | , 23.5, 0.0, 15.1, | ,  5000,  4850,  1000,   978, | , -3.4, -2419.9, -40.182, |, 0.0
55.5, 8.0, | , 23.5, 0.0, 15.3, | ,  5000,  4853,  1000,   982, | , -3.4, -2420.3, -40.238, |, 0.0
56.5, 8.4, | , 23.5, 0.0, 14.2, | ,  5000,  4851,  1000,   989, | , -3.4, -2420.3, -40.270, |, 0.0
57.5, 9.0, | , 23.5, 0.0, 9.2, | ,  5000,  4847,  1000,   993, | , -3.4, -2421.2, -40.283, |, 0.0
58.6, 9.5, | , 23.5, 0.0, 7.7, | ,  5000,  4847,  1000,  1008, | , -3.4, -2420.3, -40.379, |, 0.0
59.6, 10.0, | , 23.5, 0.0, 14.5, | ,  5000,  4854,  1000,  1008, | , -3.4, -2419.9, -40.418, |, 0.0
60.6, 10.4, | , 23.5, 0.0, 14.2, | ,  5000,  4853,  1000,  1012, | , -3.4, -2420.7, -40.448, |, 0.0
61.6, 10.9, | , 23.5, 0.0, 14.1, | ,  5000,  4851,  1000,  1008, | , -3.4, -2420.7, -40.410, |, 0.0
62.6, 11.4, | , 23.5, 0.0, 15.2, | ,  5000,  4851,  1000,  1011, | , -3.4, -2420.3, -40.422, |, 0.0
63.6, 12.0, | , 23.5, 0.0, 15.1, | ,  5000,  4855,  1000,  1007, | , -3.4, -2420.3, -40.423, |, 0.0
64.6, 12.4, | , 23.5, 0.0, 15.1, | ,  5000,  4849,  1000,  1016, | , -3.4, -2420.3, -40.445, |, 0.0
65.6, 12.9, | , 23.5, 0.0, 14.9, | ,  5000,  4846,  1000,  1003, | , -3.4, -2420.3, -40.337, |, 0.0
