# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: B2CA 2017-06-07-01, 1wt% Ru by drying oven, small cup.
# Catalyst mass: 0.808000 
filename: B2CA_RubyDry_2017-07-05-01.txt 
current working directory: /home/research/python/diff-react-2017-07-05 
Catalyst_Description: B2CA 2017-06-07-01, 1wt% Ru by drying oven, small cup.
Notes: B2CA made in large batch, 1 wt% Ru added by adding all 155grams to 1+ liters of acetone RuCl solution, then drying in dry oven. Powder sat in solution for over a day prior to drying

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.5, | , 24.5, 6.2, 11.2, | ,  5000,  -286,  1000,  -168, | , -3.4, -2422.5, 3.349, |, 8.3
1.0, -0.5, | , 24.5, 6.0, 10.7, | ,  5000,  5279,  1000,  -232, | , -3.4, -2422.5, -37.205, |, 7.3
2.0, -0.4, | , 24.5, 6.5, 11.2, | ,  5000,   -16,  1000,   130, | , -3.4, -2422.9, -0.844, |, 8.4
3.0, -0.5, | , 24.5, 6.8, 11.4, | ,  5000,  -143,  1000,    15, | , -3.4, -2422.5, 0.944, |, 8.5
4.0, -0.5, | , 24.5, 6.9, 11.9, | ,  5000,  -206,  1000,   -26, | , -3.4, -2421.6, 1.720, |, 8.7
5.0, -0.5, | , 24.5, 6.6, 10.9, | ,  5000,  -246,  1000,   -63, | , -3.4, -2422.9, 2.285, |, 8.4
6.1, -0.5, | , 24.5, 6.5, 11.9, | ,  5000,  -267,  1000,   -78, | , -3.4, -2422.0, 2.548, |, 8.5
7.1, -0.3, | , 24.5, 6.0, 10.8, | ,  5000,  1453,  1000,  1677, | , -3.4, -2422.5, -23.081, |, 8.0
8.1, -0.3, | , 24.5, 6.4, 11.4, | ,  5000,  2689,  1000,  1383, | , -3.4, -2422.5, -30.022, |, 8.2
9.1, -0.2, | , 24.5, 6.2, 11.1, | ,  5000,  3473,  1000,  1264, | , -3.4, -2422.5, -34.926, |, 7.8
10.1, -0.2, | , 24.5, 5.2, 10.1, | ,  5000,  3971,  1000,  1155, | , -3.4, -2422.5, -37.786, |, 7.3
11.1, -0.1, | , 24.5, 6.3, 11.0, | ,  5000,  4287,  1000,  1092, | , -3.4, -2422.5, -39.658, |, 8.2
12.1, -0.1, | , 24.5, 6.6, 11.7, | ,  5000,  4490,  1000,  1049, | , -3.4, -2422.5, -40.835, |, 8.5
13.1, -0.1, | , 24.5, 6.0, 11.4, | ,  5000,  4618,  1000,  1016, | , -3.4, -2422.5, -41.529, |, 7.9
14.1, 0.9, | , 24.5, 6.5, 11.4, | ,  5000,  4700,  1000,   994, | , -3.4, -2422.9, -41.982, |, 8.4
15.1, 1.4, | , 24.5, 5.0, 9.9, | ,  5000,  4755,  1000,  1005, | , -3.4, -2422.9, -42.469, |, 7.0
16.1, 2.0, | , 24.5, 6.0, 11.4, | ,  5000,  4785,  1000,  1008, | , -3.4, -2422.5, -42.712, |, 8.1
