# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: BCA411, 2017-07-29-B, powder, small cup, 1wt%Ru by wet impregnation, 4.3% dispersion
# Catalyst mass: 0.981000 
filename: BCA411-2017-08-07-01.txt 
current working directory: /home/research/python/diff-react-2017-08-07 
Catalyst_Description: BCA411, 2017-07-29-B, powder, small cup, 1wt%Ru by wet impregnation, 4.3% dispersion
Notes: BCA411, 2017-07-29-B catalyst, low dispersion according to H2 chemi

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.3, | , 20.2, 0.0, 10.7, | ,     0,  -273,     0,   -82, | , -3.4, -2419.9, 2.160, |, 0.0
1.0, -0.3, | , 20.2, 0.0, 10.5, | ,     0,  -272,     0,  -120, | , -3.4, -2419.9, 2.388, |, 0.0
2.0, -0.3, | , 20.2, 0.0, 10.1, | ,     0,  -279,     0,  -111, | , -3.4, -2419.9, 2.369, |, 0.0
3.0, -0.3, | , 20.2, 0.0, 10.9, | ,     0,  -271,     0,  -113, | , -3.4, -2419.9, 2.335, |, 0.0
4.0, -0.2, | , 20.2, 0.0, 10.4, | ,     0,  -279,     0,    49, | , -3.4, -2420.3, 1.392, |, 0.0
5.0, -0.3, | , 20.2, 0.0, 10.6, | ,     0,  -281,     0,    -4, | , -3.4, -2419.9, 1.731, |, 0.0
6.0, -0.3, | , 20.2, 0.0, 10.8, | ,     0,  -281,     0,   -40, | , -3.4, -2420.3, 1.953, |, 0.0
7.0, -0.3, | , 20.2, 0.0, 10.1, | ,     0,  -273,     0,   -71, | , -3.4, -2419.9, 2.093, |, 0.0
8.1, -0.3, | , 20.2, 0.0, 10.4, | ,     0,  -281,     0,   -89, | , -3.4, -2420.3, 2.248, |, 0.0
9.1, -0.3, | , 20.2, 0.0, 10.1, | ,     0,  -280,     0,   -75, | , -3.4, -2420.3, 2.163, |, 0.0
