# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: B2CA 2017-07-12 powder, 1wt% Ru by IW, small cup.
# Catalyst mass: 0.802000 
filename: B2CA_7-12_2017-07-18-04.txt 
current working directory: /home/research/python/diff-react-2017-07-18 
Catalyst_Description: B2CA 2017-07-12 powder, 1wt% Ru by IW, small cup.
Notes: restart after deleting old TCs in code

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.5, | , 24.6, 0.0, 15.4, | ,     0,  -291,     0,  -124, | , -3.4, -2420.3, 3.085, |, 0.0
1.0, -0.5, | , 24.6, 0.0, 15.3, | ,     0,  -293,     0,  -120, | , -3.4, -2420.3, 3.071, |, 0.0
2.0, -0.5, | , 24.6, 0.0, 15.4, | ,     0,  -291,     0,  -139, | , -3.4, -2420.7, 3.197, |, 0.0
3.0, -0.5, | , 24.6, 0.0, 15.4, | ,     0,  -285,     0,  -135, | , -3.4, -2420.7, 3.127, |, 0.0
4.0, -0.5, | , 24.6, 0.0, 15.3, | ,     0,  -288,     0,  -138, | , -3.4, -2420.7, 3.170, |, 0.0
5.0, -0.5, | , 24.6, 0.0, 15.1, | ,     0,  -291,     0,  -142, | , -3.4, -2420.7, 3.218, |, 0.0
6.0, -0.5, | , 24.6, 0.0, 15.1, | ,     0,  -288,     0,  -140, | , -3.4, -2420.3, 3.187, |, 0.0
7.1, -0.4, | , 24.6, 0.0, 15.3, | ,     0,  -290,     0,  -136, | , -3.4, -2420.3, 3.170, |, 0.0
8.1, -0.5, | , 24.6, 0.0, 15.6, | ,     0,  -291,     0,  -142, | , -3.4, -2420.3, 3.220, |, 0.0
9.1, -0.5, | , 24.6, 0.0, 14.8, | ,     0,  -293,     0,  -135, | , -3.4, -2420.7, 3.183, |, 0.0
10.1, -0.5, | , 24.6, 0.0, 15.1, | ,     0,  -289,     0,  -142, | , -3.4, -2420.3, 3.203, |, 0.0
11.1, -0.5, | , 24.6, 0.0, 15.5, | ,     0,  -286,     0,  -135, | , -3.4, -2420.3, 3.127, |, 0.0
12.1, -0.5, | , 24.6, 0.0, 15.6, | ,     0,  -293,     0,  -135, | , -3.4, -2420.3, 3.179, |, 0.0
13.1, -0.5, | , 24.6, 0.0, 15.0, | ,     0,  -288,     0,  -142, | , -3.4, -2420.3, 3.194, |, 0.0
14.1, -0.5, | , 24.6, 0.0, 14.7, | ,     0,  -289,     0,  -142, | , -3.4, -2420.7, 3.208, |, 0.0
15.1, -0.5, | , 24.6, 0.0, 15.5, | ,     0,  -291,     0,  -133, | , -3.4, -2420.3, 3.151, |, 0.0
16.1, -0.5, | , 24.6, 0.0, 15.2, | ,     0,  -288,     0,  -139, | , -3.4, -2420.3, 3.173, |, 0.0
17.1, -0.5, | , 24.6, 0.0, 15.2, | ,     0,  -288,     0,  -119, | , -3.4, -2420.7, 3.030, |, 0.0
18.1, -0.5, | , 24.6, 0.0, 15.3, | ,     0,  -289,     0,  -131, | , -3.4, -2420.3, 3.125, |, 0.0
19.2, -0.4, | , 24.6, 0.0, 14.4, | ,     0,  -290,     0,  -127, | , -3.4, -2420.7, 3.097, |, 0.0
20.2, -0.5, | , 24.6, 0.0, 15.2, | ,     0,  -289,     0,  -136, | , -3.4, -2420.7, 3.165, |, 0.0
21.2, -0.5, | , 24.6, 0.0, 15.2, | ,     0,  -283,     0,  -131, | , -3.4, -2420.7, 3.086, |, 0.0
22.2, -0.5, | , 24.6, 0.0, 15.2, | ,     0,  -291,     0,  -150, | , -3.4, -2420.7, 3.283, |, 0.0
23.2, -0.5, | , 24.6, 0.0, 15.6, | ,     0,  -289,     0,  -138, | , -3.4, -2420.3, 3.177, |, 0.0
24.2, -0.5, | , 24.6, 0.0, 14.0, | ,     0,  -293,     0,  -134, | , -3.4, -2420.7, 3.171, |, 0.0
25.2, -0.5, | , 24.6, 0.0, 15.4, | ,     0,  -285,     0,  -147, | , -3.4, -2420.3, 3.214, |, 0.0
26.2, -0.5, | , 24.6, 0.0, 14.8, | ,     0,  -290,     0,  -129, | , -3.4, -2420.7, 3.115, |, 0.0
