# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: BCA311, 2017-07-29-A, powder, small cup, 1wt%Ru by wet impregnation, 13.217% dispersion
# Catalyst mass: 0.917000 
filename: BCA311_2017-08-04-01.txt 
current working directory: /home/research/python/diff-react-2017-08-04 
Catalyst_Description: BCA311, 2017-07-29-A, powder, small cup, 1wt%Ru by wet impregnation, 13.217% dispersion
Notes: 1wt% Ru by wet impregnation, 13% dispersion

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.4, | , 21.0, 0.0, 10.9, | ,     0,  -278,     0,  -101, | , -3.4, -2421.2, 2.465, |, 0.0
1.0, -0.4, | , 21.0, 0.0, 11.0, | ,     0,  -270,     0,  -111, | , -3.4, -2420.7, 2.477, |, 0.0
2.0, -0.4, | , 21.0, 0.0, 11.0, | ,     0,  -284,     0,  -114, | , -3.4, -2420.7, 2.588, |, 0.0
3.0, -0.4, | , 21.0, 0.0, 9.3, | ,     0,  -283,     0,  -101, | , -3.4, -2421.2, 2.500, |, 0.0
4.0, -0.4, | , 21.0, 0.0, 10.0, | ,     0,  -283,     0,  -123, | , -3.4, -2421.2, 2.643, |, 0.0
5.0, -0.4, | , 21.0, 0.0, 9.8, | ,     0,  -280,     0,  -108, | , -3.4, -2421.2, 2.525, |, 0.0
6.0, -0.4, | , 21.0, 0.0, 11.0, | ,     0,  -281,     0,  -124, | , -3.4, -2421.2, 2.635, |, 0.0
7.1, -0.4, | , 21.0, 0.0, 10.1, | ,     0,  -281,     0,  -125, | , -3.4, -2420.7, 2.643, |, 0.0
8.1, -0.4, | , 21.0, 0.0, 5.3, | ,     0,  -282,     0,  -112, | , -3.4, -2421.2, 2.568, |, 0.0
9.1, -0.4, | , 21.0, 0.0, 10.9, | ,     0,  -283,     0,  -115, | , -3.4, -2420.7, 2.587, |, 0.0
10.1, -0.4, | , 21.0, 0.0, 9.9, | ,     0,  -281,     0,   -94, | , -3.4, -2421.2, 2.437, |, 0.0
11.1, -0.4, | , 21.0, 0.0, 10.3, | ,     0,  -276,     0,  -120, | , -3.4, -2421.2, 2.575, |, 0.0
12.1, -0.4, | , 21.0, 0.0, 10.7, | ,     0,  -270,     0,  -116, | , -3.4, -2421.2, 2.512, |, 0.0
13.1, -0.4, | , 21.0, 0.0, 11.0, | ,     0,  -280,     0,  -119, | , -3.4, -2420.7, 2.592, |, 0.0
