# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: BCA723-2017-08-29-C, small cup, 1wt% Ru by wet impreg
# Catalyst mass: 0.995000 
filename: BCA723_2017-08-31-01.txt 
current working directory: /home/research/python/diff-react-2017-08-31 
Catalyst_Description: BCA723-2017-08-29-C, small cup, 1wt% Ru by wet impreg
Notes: BCA723 otherwise known as B2.33C0.67A, 1wt% Ru by wet impreg

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.3, | , 21.4, 0.0, 13.3, | ,     0,  -294,     0,  -146, | , -3.4, -2422.5, 2.636, |, 0.0
1.0, -0.3, | , 21.4, 0.0, 13.1, | ,     0,  -297,     0,  -134, | , -3.4, -2422.0, 2.586, |, 0.0
2.0, -0.3, | , 21.4, 0.0, 12.9, | ,     0,  -297,     0,  -145, | , -3.4, -2422.9, 2.651, |, 0.0
3.0, -0.3, | , 21.4, 0.0, 10.7, | ,     0,  -290,     0,  -146, | , -3.4, -2422.0, 2.611, |, 0.0
4.0, -0.2, | , 21.4, 0.0, 13.5, | ,     0,  -293,     0,  -133, | , -3.4, -2422.0, 2.555, |, 0.0
5.0, -0.3, | , 21.4, 0.0, 11.9, | ,     0,  -298,     0,  -131, | , -3.4, -2422.5, 2.573, |, 0.0
6.0, -0.3, | , 21.4, 0.0, 13.5, | ,     0,  -296,     0,  -139, | , -3.4, -2422.5, 2.610, |, 0.0
7.1, -0.3, | , 21.4, 0.0, 13.8, | ,     0,  -295,     0,  -142, | , -3.4, -2422.0, 2.620, |, 0.0
8.1, -0.3, | , 21.4, 0.0, 13.2, | ,     0,  -294,     0,  -131, | , -3.4, -2422.5, 2.553, |, 0.0
9.1, -0.3, | , 21.4, 0.0, 13.3, | ,     0,  -293,     0,  -131, | , -3.4, -2422.5, 2.544, |, 0.0
10.1, -0.3, | , 21.4, 0.0, 12.4, | ,     0,  -289,     0,  -127, | , -3.4, -2422.5, 2.501, |, 0.0
11.1, -0.3, | , 21.4, 0.0, 13.0, | ,     0,  -293,     0,  -136, | , -3.4, -2422.5, 2.576, |, 0.0
12.1, -0.3, | , 21.4, 0.0, 13.3, | ,     0,  -294,     0,  -145, | , -3.4, -2422.5, 2.635, |, 0.0
13.1, -0.3, | , 21.4, 0.0, 12.5, | ,     0,  -295,     0,  -136, | , -3.4, -2422.9, 2.590, |, 0.0
14.1, -0.3, | , 21.4, 0.0, 12.7, | ,  4000,  -297,  1000,  -123, | , -3.4, -2422.5, 2.516, |, 0.0
15.1, -0.1, | , 21.4, 0.0, 13.5, | ,  4000,  3888,  1000,  1969, | , -3.4, -2421.6, -35.052, |, 0.0
16.1, -0.1, | , 21.4, 0.0, 13.3, | ,  4000,  3865,  1000,   -97, | , -3.4, -2422.0, -22.545, |, 0.0
17.1, -0.1, | , 21.4, 0.0, 13.3, | ,  4000,  3864,  1000,  -121, | , -3.4, -2422.0, -22.398, |, 0.0
18.2, -0.0, | , 21.4, 0.0, 13.2, | ,  4000,  3866,  1000,   364, | , -3.4, -2422.5, -25.324, |, 0.0
19.2, 0.0, | , 21.4, 0.0, 13.8, | ,  4000,  3866,  1000,   552, | , -3.4, -2422.0, -26.448, |, 0.0
20.2, 0.0, | , 21.4, 0.0, 13.3, | ,  4000,  3876,  1000,   731, | , -3.4, -2422.5, -27.579, |, 0.0
21.2, 0.1, | , 21.4, 0.0, 13.3, | ,  4000,  3871,  1000,   819, | , -3.4, -2422.5, -28.080, |, 0.0
22.2, 0.1, | , 21.4, 0.0, 13.6, | ,  4000,  3878,  1000,   879, | , -3.4, -2422.5, -28.479, |, 0.0
23.2, 0.1, | , 21.4, 0.0, 13.3, | ,  4000,  3871,  1000,   917, | , -3.4, -2421.6, -28.656, |, 0.0
24.2, 0.1, | , 21.4, 0.0, 13.3, | ,  4000,  3874,  1000,   926, | , -3.4, -2422.5, -28.735, |, 0.0
25.2, 0.1, | , 21.4, 0.0, 12.9, | ,  4000,  3871,  1000,   945, | , -3.4, -2422.5, -28.834, |, 0.0
26.2, 0.1, | , 21.5, 0.0, 13.8, | ,  4000,  3877,  1000,   937, | , -3.4, -2422.0, -28.811, |, 0.0
27.2, 0.1, | , 21.5, 0.0, 13.5, | ,  4000,  3873,  1000,   966, | , -3.4, -2422.0, -28.965, |, 0.0
28.2, 0.1, | , 21.5, 0.0, 13.5, | ,  4000,  3874,  1000,   964, | , -3.4, -2422.0, -28.960, |, 0.0
29.3, 0.1, | , 21.5, 0.0, 13.4, | ,  4000,  3870,  1000,   947, | , -3.4, -2422.0, -28.833, |, 0.0
30.3, 0.1, | , 21.5, 0.0, 12.7, | ,  4000,  3878,  1000,   969, | , -3.4, -2422.0, -29.013, |, 0.0
31.3, 0.1, | , 21.5, 0.0, 13.4, | ,  4000,  3878,  1000,   977, | , -3.4, -2422.5, -29.067, |, 0.0
32.3, 0.1, | , 21.5, 0.0, 12.9, | ,  4000,  3872,  1000,   990, | , -3.4, -2422.0, -29.104, |, 0.0
