# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: BCA512-2017-08-29-B, small cup, 1wt% Ru by wet impreg
# Catalyst mass: 1.208000 
filename: BCA512_2017-09-05-01.txt 
current working directory: /home/research/python/diff-react-2017-09-05 
Catalyst_Description: BCA512-2017-08-29-B, small cup, 1wt% Ru by wet impreg
Notes: final point in recent series of compositions

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.2, | , 22.4, 0.0, 12.0, | ,     0,  -294,     0,  -150, | , -3.4, -2422.5, 2.191, |, 0.0
1.0, -0.3, | , 22.4, 0.0, 12.4, | ,     0,  -301,     0,  -141, | , -3.4, -2422.0, 2.184, |, 0.0
2.0, -0.3, | , 22.4, 0.0, 12.0, | ,     0,  -297,     0,  -135, | , -3.4, -2423.3, 2.133, |, 0.0
3.0, -0.2, | , 22.4, 0.0, 6.0, | ,     0,  -297,     0,  -155, | , -3.4, -2423.3, 2.236, |, 0.0
4.0, -0.2, | , 22.4, 0.0, 12.1, | ,     0,  -299,     0,  -145, | , -3.4, -2422.5, 2.194, |, 0.0
5.0, -0.3, | , 22.4, 0.0, 13.1, | ,     0,  -300,     0,  -156, | , -3.4, -2422.0, 2.250, |, 0.0
6.1, -0.3, | , 22.4, 0.0, 12.2, | ,     0,  -298,     0,  -155, | , -3.4, -2422.0, 2.240, |, 0.0
7.1, -0.3, | , 22.4, 0.0, 12.4, | ,     0,  -300,     0,  -137, | , -3.4, -2422.0, 2.156, |, 0.0
8.1, -0.3, | , 22.4, 0.0, 12.7, | ,     0,  -298,     0,  -142, | , -3.4, -2422.5, 2.171, |, 0.0
9.1, -0.3, | , 22.4, 0.0, 11.5, | ,     0,  -293,     0,  -153, | , -3.4, -2422.0, 2.201, |, 0.0
10.1, -0.3, | , 22.4, 0.0, 12.4, | ,     0,  -297,     0,  -120, | , -3.4, -2422.0, 2.064, |, 0.0
11.1, -0.3, | , 22.4, 0.0, 12.5, | ,     0,  -295,     0,  -148, | , -3.4, -2422.0, 2.189, |, 0.0
12.1, -0.3, | , 22.4, 0.0, 3.9, | ,     0,  -298,     0,  -139, | , -3.4, -2424.2, 2.160, |, 0.0
13.1, -0.2, | , 22.4, 0.0, 11.5, | ,  3000,  -292,  1000,  -132, | , -3.4, -2422.0, 2.094, |, 0.0
14.1, -0.1, | , 22.4, 0.0, 12.0, | ,  3000,  2922,  1000,  1804, | , -3.4, -2422.0, -23.297, |, 0.0
15.1, -0.0, | , 22.4, 0.0, 12.7, | ,  3000,  2892,  1000,  2259, | , -3.4, -2422.0, -25.398, |, 0.0
16.1, -0.1, | , 22.4, 0.0, 12.7, | ,  3000,  2897,  1000,  1373, | , -3.4, -2422.0, -21.054, |, 0.0
17.2, -0.0, | , 22.4, 0.0, 12.4, | ,  3000,  2894,  1000,   817, | , -3.4, -2422.0, -18.295, |, 0.0
18.2, -0.1, | , 22.4, 0.0, 12.3, | ,  3000,  2900,  1000,   967, | , -3.4, -2422.0, -19.064, |, 0.0
19.2, 0.0, | , 22.4, 0.0, 12.9, | ,  3000,  2895,  1000,   931, | , -3.4, -2422.0, -18.862, |, 0.0
20.2, 0.0, | , 22.4, 0.0, 12.9, | ,  3000,  2903,  1000,   982, | , -3.4, -2422.0, -19.156, |, 0.0
21.2, 0.0, | , 22.4, 0.0, 12.5, | ,  3000,  2897,  1000,   962, | , -3.4, -2422.0, -19.028, |, 0.0
22.2, 0.0, | , 22.4, 0.0, 12.1, | ,  3000,  2904,  1000,   974, | , -3.4, -2422.0, -19.121, |, 0.0
23.2, 0.0, | , 22.4, 0.0, 13.0, | ,  3000,  2901,  1000,   969, | , -3.4, -2422.0, -19.082, |, 0.0
24.2, 0.0, | , 22.4, 0.0, 11.8, | ,  3000,  2906,  1000,   976, | , -3.4, -2422.0, -19.139, |, 0.0
25.2, 0.0, | , 22.4, 0.0, 12.6, | ,  3000,  2906,  1000,   977, | , -3.4, -2422.0, -19.144, |, 0.0
26.2, 0.0, | , 22.4, 0.0, 12.5, | ,  3000,  2904,  1000,   968, | , -3.4, -2422.0, -19.092, |, 0.0
27.3, 0.1, | , 22.4, 0.0, 12.3, | ,  3000,  2905,  1000,   971, | , -3.4, -2422.0, -19.112, |, 0.0
28.3, 0.0, | , 22.4, 0.0, 12.6, | ,  3000,  2897,  1000,   983, | , -3.4, -2422.0, -19.129, |, 0.0
29.3, 0.0, | , 22.4, 0.0, 8.5, | ,  3000,  2903,  1000,   982, | , -3.4, -2422.5, -19.154, |, 0.0
30.3, 0.1, | , 22.4, 0.0, 10.6, | ,  3000,  2904,     0,   977, | , -3.4, -2422.0, -19.135, |, 0.0
31.3, 0.0, | , 22.4, 0.0, 12.3, | ,  3000,  2905,     0,  -171, | , -3.4, -2422.0, -13.476, |, 0.0
32.3, 0.0, | , 22.4, 0.0, 11.9, | ,  3000,  2901,     0,  -150, | , -3.4, -2422.5, -13.563, |, 0.0
33.3, -0.0, | , 22.4, 0.0, 12.0, | ,  3000,  2905,     0,  -155, | , -3.4, -2422.0, -13.553, |, 0.0
34.3, -0.0, | , 22.4, 0.0, 12.9, | ,  3000,  2905,     0,  -159, | , -3.4, -2422.0, -13.534, |, 0.0
35.3, -0.0, | , 22.4, 0.0, 12.5, | ,  3000,  2905,     0,  -164, | , -3.4, -2422.5, -13.514, |, 0.0
36.3, -0.0, | , 22.4, 0.0, 11.5, | ,  3000,  2903,     0,  -153, | , -3.4, -2422.5, -13.558, |, 0.0
37.4, -0.0, | , 22.4, 0.0, 11.9, | ,  3000,  2903,     0,  -153, | , -3.4, -2422.5, -13.557, |, 0.0
38.4, -0.0, | , 22.4, 0.0, 12.7, | ,  3000,  2905,     0,  -146, | , -3.4, -2421.6, -13.594, |, 0.0
39.4, -0.0, | , 22.4, 0.0, 12.3, | ,  3000,  2907,     0,  -146, | , -3.4, -2422.0, -13.607, |, 0.0
40.4, -0.0, | , 22.4, 0.0, 12.6, | ,  3000,  2897,     0,  -131, | , -3.4, -2422.0, -13.631, |, 0.0
41.4, -0.0, | , 22.4, 0.0, 11.8, | ,  3000,  2899,     0,  -142, | , -3.4, -2422.5, -13.590, |, 0.0
42.4, -0.0, | , 22.4, 0.0, 12.6, | ,  3000,  2905,     0,  -142, | , -3.4, -2421.6, -13.620, |, 0.0
43.4, -0.0, | , 22.4, 0.0, 12.4, | ,  3000,  2903,     0,  -137, | , -3.4, -2422.0, -13.635, |, 0.0
44.4, -0.1, | , 22.4, 0.0, 12.6, | ,  3000,  2905,     0,  -144, | , -3.4, -2422.0, -13.608, |, 0.0
45.4, -0.0, | , 22.4, 0.0, 12.6, | ,  3000,  2904,     0,  -140, | , -3.4, -2422.0, -13.626, |, 0.0
46.4, -0.0, | , 22.4, 0.0, 12.3, | ,  3000,  2903,     0,  -159, | , -3.4, -2422.0, -13.525, |, 0.0
47.4, -0.0, | , 22.4, 0.0, 6.3, | ,  3000,  2902,     0,  -159, | , -3.4, -2423.3, -13.526, |, 0.0
48.5, -0.0, | , 22.4, 0.0, 7.4, | ,  3000,  2901,     0,  -156, | , -3.4, -2423.3, -13.536, |, 0.0
49.5, 0.0, | , 22.4, 0.0, 6.8, | ,  3000,  2901,     0,  -143, | , -3.4, -2422.9, -13.598, |, 0.0
50.5, -0.0, | , 22.4, 0.0, 10.8, | ,  3000,  2904,     0,  -160, | , -3.4, -2423.7, -13.535, |, 0.0
