BCA_str,formula,split,max_NH3_ppm,max_rate,HN_ratio_max,T_max,flow_max
B2C1A1,Ba2 Ca1 Al2 O6,train_val,5293.0,190.399,3.0144329896907216,524.3,21417.0
B2C1A1,Ba2 Ca1 Al2 O6,train_val,4818.7,194.445,3.013994035329204,575.1,17497.0
B2C1A1,Ba2 Ca1 Al2 O6,train_val,5282.3,144.531,3.024,568.6,15593.0
B2C1A1,Ba2 Ca1 Al2 O6,train_val,5727.9,141.227,3.0161790017211705,579.4,23334.0
B2C1A1,Ba2 Ca1 Al2 O6,train_val,5094.6,153.014,3.0171310629514965,565.0,19463.0
B1C0A1,Ba1 Al2 O4,train_val,4107.1,131.969,3.0181317420243285,572.9,17507.0
B3C0A1,Ba3 Al2 O6,train_val,902.3,13.368,3.0404354587869364,604.0,7794.0
B3C1A1,Ba3 Ca1 Al2 O7,train_val,3506.4,74.656,3.020371325425477,591.9,15591.0
B4C1A1,Ba4 Ca1 Al2 O8,train_val,3249.7,57.973,3.0086117809162936,602.1,11637.0
B5C1A1,Ba5 Ca1 Al2 O9,train_val,2622.5,32.997,3.0298763736263736,599.2,11735.0
B5C1A2,Ba5 Ca1 Al4 O12,train_val,5479.4,110.714,3.0180645161290323,586.4,15570.0
B5C3A2,Ba5 Ca3 Al4 O14,train_val,3589.9,73.499,3.0175348117586385,581.7,15580.0
B7C2A3,Ba7 Ca2 Al6 O18,train_val,4654.6,99.12899999999999,3.0355945318545268,579.3,15646.0
B0C3A1,Ca3 Al2 O6,train_val,2544.1,65.611,2.029434546862897,592.3,11733.0
B0C1A0,Ca1 O1,train_val,1767.3,56.285,2.2811145510835913,581.0,15897.0
B0C0A1,Al2 O3,train_val,869.3,9.227745615353278,2.0113659847075844,552.9,14572.0
B3C9A4,Ba3 Ca9 Al8 O24,train_val,2242.5,31.461678096749665,2.9955218739235274,612.2,11599.0
B3C3A2,Ba6 Ca6 Al8 O24,train_val,5198.7,108.83516371923278,3.0118648439515088,590.7,15554.0
B1C2A1,Ba4 Ca8 Al8 O24,train_val,3359.9,44.394008745711304,3.0044827586206897,584.6,11613.0
B5C7A4,Ba5 Ca7 Al8 O24,train_val,4066.8,80.67667817195304,3.0142268041237115,593.2,38938.0
B0C12A7,Ca12 Al14 O33,train_val,5731.7,11.520499484752039,1.5158576051779935,564.0,3887.0
B0C3A1,Ca3 Al2 O6,train_val,2637.5,52.258090294951586,2.0170436938332816,482.6,9736.0
B0C1A1,Ca1 Al2 O4,train_val,2330.3,4.626182177190217,1.529296875,587.4,3885.0
B4C1A3,Ba4 Ca1 Al6 O14,train_val,,138.0,,,
B1C0A0,Ba1 O1,train_val,,8.0,,,
B2C1A0,Ba2 Ca1 O3,train_val,,15.0,,,
B21C16A3,Ba21 Ca16 Al6 O46,test,441.7,7.008796798162326,3.045761830473219,489.9,7780.0
B2C5A1,Ba2 Ca5 Al2 O10,test,4109.6,71.97931638513661,3.0368066355624674,497.9,7787.0
B1C1A2,Ba1 Ca1 Al4 O8,test,294.7,3.992096094558534,3.056544502617801,517.1,3874.0
B1C1A1,Ba1 Ca1 Al2 O5,test,4999.1,87.84772949061363,3.0590673575129532,502.4,7834.0
