# Configuration: 
#          DeviceName:  U6
#          HardwareVersion:  2.00
#          VersionInfo:  4
#          BootloaderVersion:  6.15
#          LocalID:  1
#          SerialNumber:  360012638
#          FirmwareVersion:  1.43
#          ProductID:  6
# Catalyst: Catalyst_Description: BCA413-2017-08-29-D, small cup, 1wt% Ru by wet impreg
# Catalyst mass: 1.322000 
filename: BCA413_2017-09-01-01.txt 
current working directory: /home/research/python/diff-react-2017-09-01 
Catalyst_Description: BCA413-2017-08-29-D, small cup, 1wt% Ru by wet impreg
Notes: 1 wt% Ru by wet impreg, probably did not get all Ru on, more like 0.6%

********** Start test **********


Elapsed time, Pressure, | , LJtemp(C), Inner-Temp, Outer-Temp, | , N2-set, N2-flow, H2-set, H2-flow, | , pH, NH3_ppm, NH3_Prod_rate, |, In222Temp
0.0, -0.3, | , 24.5, 0.0, 15.9, | ,     0,  -301,     0,  -145, | , -3.4, -2421.6, 2.011, |, 0.0
1.0, -0.3, | , 24.5, 0.0, 15.4, | ,     0,  -293,     0,  -128, | , -3.4, -2421.6, 1.901, |, 0.0
2.0, -0.3, | , 24.5, 0.0, 15.8, | ,     0,  -299,     0,  -146, | , -3.4, -2421.2, 2.010, |, 0.0
3.0, -0.3, | , 24.5, 0.0, 14.5, | ,     0,  -301,     0,  -125, | , -3.4, -2421.6, 1.925, |, 0.0
4.0, -0.3, | , 24.5, 0.0, 15.3, | ,     0,  -302,     0,  -150, | , -3.4, -2421.6, 2.042, |, 0.0
5.0, -0.3, | , 24.5, 0.0, 15.3, | ,     0,  -296,     0,  -150, | , -3.4, -2421.6, 2.015, |, 0.0
6.0, -0.3, | , 24.5, 0.0, 15.3, | ,     0,  -301,     0,  -137, | , -3.4, -2422.0, 1.978, |, 0.0
7.1, -0.3, | , 24.5, 0.0, 15.3, | ,     0,  -294,     0,  -139, | , -3.4, -2421.6, 1.950, |, 0.0
8.1, -0.3, | , 24.5, 0.0, 15.6, | ,     0,  -301,     0,  -139, | , -3.4, -2421.6, 1.983, |, 0.0
9.1, -0.3, | , 24.5, 0.0, 15.5, | ,     0,  -294,     0,  -146, | , -3.4, -2421.2, 1.985, |, 0.0
10.1, -0.3, | , 24.5, 0.0, 14.4, | ,     0,  -298,     0,  -151, | , -3.4, -2422.0, 2.029, |, 0.0
11.1, -0.3, | , 24.5, 0.0, 15.3, | ,     0,  -297,     0,  -135, | , -3.4, -2421.6, 1.949, |, 0.0
12.1, -0.3, | , 24.5, 0.0, 15.5, | ,     0,  -296,     0,  -136, | , -3.4, -2421.6, 1.951, |, 0.0
13.1, -0.3, | , 24.5, 0.0, 15.8, | ,     0,  -301,     0,  -143, | , -3.4, -2421.2, 2.004, |, 0.0
14.1, -0.3, | , 24.5, 0.0, 15.0, | ,     0,  -299,     0,  -142, | , -3.4, -2422.0, 1.991, |, 0.0
15.1, -0.3, | , 24.5, 0.0, 14.2, | ,     0,  -302,     0,  -122, | , -3.4, -2422.0, 1.916, |, 0.0
16.1, -0.3, | , 24.5, 0.0, 14.5, | ,     0,  -301,     0,  -139, | , -3.4, -2421.6, 1.983, |, 0.0
17.1, -0.3, | , 24.5, 0.0, 15.3, | ,     0,  -302,     0,  -125, | , -3.4, -2421.6, 1.927, |, 0.0
18.2, -0.3, | , 24.5, 0.0, 15.4, | ,     0,  -294,     0,  -151, | , -3.4, -2421.6, 2.010, |, 0.0
19.2, -0.3, | , 24.5, 0.0, 15.7, | ,     0,  -302,     0,  -156, | , -3.4, -2421.6, 2.067, |, 0.0
20.2, -0.3, | , 24.5, 0.0, 14.8, | ,     0,  -301,     0,  -153, | , -3.4, -2422.0, 2.047, |, 0.0
21.2, -0.3, | , 24.5, 0.0, 15.3, | ,     0,  -303,     0,  -138, | , -3.4, -2422.0, 1.988, |, 0.0
22.2, -0.3, | , 24.5, 0.0, 15.2, | ,     0,  -299,     0,  -133, | , -3.4, -2422.0, 1.951, |, 0.0
23.2, -0.3, | , 24.5, 0.0, 14.9, | ,     0,  -289,     0,  -135, | , -3.4, -2422.0, 1.915, |, 0.0
24.2, -0.3, | , 24.5, 0.0, 15.0, | ,     0,  -300,     0,  -124, | , -3.4, -2421.6, 1.910, |, 0.0
25.2, -0.3, | , 24.5, 0.0, 14.4, | ,     0,  -296,     0,  -142, | , -3.4, -2422.0, 1.981, |, 0.0
26.2, -0.3, | , 24.5, 0.0, 15.3, | ,  4000,  -302,  1000,  -138, | , -3.4, -2421.6, 1.984, |, 0.0
27.2, -0.2, | , 24.5, 0.0, 15.5, | ,  4000,  3892,  1000,  1256, | , -3.4, -2421.6, -23.184, |, 0.0
28.2, -0.1, | , 24.5, 0.0, 15.7, | ,  4000,  3878,  1000,   994, | , -3.4, -2421.6, -21.946, |, 0.0
29.3, -0.0, | , 24.5, 0.0, 15.9, | ,  4000,  3883,  1000,   993, | , -3.4, -2421.6, -21.965, |, 0.0
30.3, -0.0, | , 24.5, 0.0, 14.6, | ,  4000,  3877,  1000,  1000, | , -3.4, -2421.6, -21.968, |, 0.0
31.3, 0.0, | , 24.5, 0.0, 16.1, | ,  4000,  3877,  1000,   986, | , -3.4, -2421.6, -21.901, |, 0.0
32.3, 0.0, | , 24.5, 0.0, 15.5, | ,  4000,  3877,  1000,   990, | , -3.4, -2421.6, -21.918, |, 0.0
33.3, 0.1, | , 24.5, 0.0, 15.6, | ,  4000,  3879,  1000,   991, | , -3.4, -2422.0, -21.942, |, 0.0
34.3, 0.1, | , 24.5, 0.0, 15.8, | ,  4000,  3875,  1000,   972, | , -3.4, -2421.6, -21.832, |, 0.0
35.3, 0.1, | , 24.5, 0.0, 15.4, | ,  4000,  3877,  1000,   977, | , -3.4, -2421.6, -21.862, |, 0.0
36.3, 0.1, | , 24.5, 0.0, 15.6, | ,  4000,  3870,  1000,   977, | , -3.4, -2421.6, -21.831, |, 0.0
37.3, 0.1, | , 24.5, 0.0, 14.5, | ,  4000,  3874,  1000,   979, | , -3.4, -2421.6, -21.859, |, 0.0
38.4, 0.1, | , 24.5, 0.0, 15.7, | ,  4000,  3875,  1000,   971, | , -3.4, -2421.6, -21.830, |, 0.0
39.4, 0.1, | , 24.5, 0.0, 15.7, | ,  4000,  3877,  1000,   975, | , -3.4, -2421.6, -21.852, |, 0.0
40.4, 0.1, | , 24.5, 0.0, 15.4, | ,  4000,  3878,  1000,   978, | , -3.4, -2421.6, -21.873, |, 0.0
41.4, 0.1, | , 24.5, 0.0, 16.1, | ,  4000,  3876,  1000,   966, | , -3.4, -2421.6, -21.807, |, 0.0
42.4, 0.1, | , 24.5, 0.0, 15.0, | ,  4000,  3875,  1000,   986, | , -3.4, -2421.6, -21.898, |, 0.0
43.4, 0.1, | , 24.5, 0.0, 15.5, | ,  4000,  3876,  1000,   984, | , -3.4, -2421.6, -21.889, |, 0.0
44.4, 0.1, | , 24.5, 0.0, 15.5, | ,  4000,  3877,  1000,   986, | , -3.4, -2421.6, -21.900, |, 0.0
45.4, 0.1, | , 24.5, 0.0, 15.8, | ,  4000,  3873,  1000,   985, | , -3.4, -2421.2, -21.878, |, 0.0
46.4, 0.1, | , 24.5, 0.0, 15.5, | ,  4000,  3877,  1000,   978, | , -3.4, -2422.0, -21.870, |, 0.0
47.5, 0.1, | , 24.5, 0.0, 14.6, | ,  4000,  3875,  1000,   970, | , -3.4, -2422.0, -21.824, |, 0.0
48.5, 0.1, | , 24.5, 0.0, 15.5, | ,  4000,  3876,  1000,   973, | , -3.4, -2421.6, -21.842, |, 0.0
49.5, 0.1, | , 24.5, 0.0, 15.6, | ,  4000,  3878,  1000,   982, | , -3.4, -2421.6, -21.891, |, 0.0
50.5, 0.1, | , 24.5, 0.0, 15.5, | ,  4000,  3874,  1000,   982, | , -3.4, -2422.0, -21.876, |, 0.0
51.5, 0.1, | , 24.5, 0.0, 15.6, | ,  4000,  3872,  1000,   977, | , -3.4, -2421.6, -21.842, |, 0.0
52.5, 0.1, | , 24.5, 0.0, 14.9, | ,  4000,  3874,  1000,   984, | , -3.4, -2421.6, -21.882, |, 0.0
53.5, 0.1, | , 24.5, 0.0, 15.2, | ,  4000,  3834,  1000,   973, | , -3.4, -2421.6, -21.653, |, 0.0
54.5, 0.1, | , 24.5, 0.0, 8.8, | ,  4000,  3849,  1000,   955, | , -3.4, -2422.9, -21.649, |, 0.0
55.5, 0.1, | , 24.5, 0.0, 13.3, | ,  4000,  3869,  1000,   980, | , -3.4, -2422.0, -21.843, |, 0.0
56.5, 0.1, | , 24.5, 0.0, 9.3, | ,  4000,  3858,  1000,   972, | , -3.4, -2423.7, -21.774, |, 0.0
57.5, 0.1, | , 24.5, 0.0, 14.7, | ,  4000,  3871,  1000,   988, | , -3.4, -2422.0, -21.890, |, 0.0
58.6, 0.1, | , 24.5, 0.0, 14.7, | ,  4000,  3870,  1000,   977, | , -3.4, -2422.0, -21.833, |, 0.0
59.6, 0.1, | , 24.5, 0.0, 14.9, | ,  4000,  3874,  1000,   979, | , -3.4, -2422.0, -21.863, |, 0.0
60.6, 0.1, | , 24.5, 0.0, 14.9, | ,  4000,  3877,  1000,   986, | , -3.4, -2421.6, -21.908, |, 0.0
61.6, 0.1, | , 24.5, 0.0, 13.9, | ,  4000,  3875,  1000,   974, | , -3.4, -2422.0, -21.843, |, 0.0
62.6, 0.1, | , 24.5, 0.0, 14.5, | ,  4000,  3878,  1000,   969, | , -3.4, -2422.0, -21.835, |, 0.0
63.6, 0.1, | , 24.5, 0.0, 14.8, | ,  4000,  3879,  1000,   966, | , -3.4, -2422.0, -21.826, |, 0.0
64.6, 0.1, | , 24.5, 0.0, 14.6, | ,  4000,  3873,  1000,   967, | , -3.4, -2421.6, -21.798, |, 0.0
65.6, 0.1, | , 24.5, 0.0, 12.3, | ,  4000,  3871,  1000,   999, | , -3.4, -2422.0, -21.939, |, 0.0
66.6, 0.1, | , 24.5, 0.0, 15.0, | ,  4000,  3879,  1000,   974, | , -3.4, -2421.6, -21.858, |, 0.0
67.6, 0.9, | , 24.5, 0.0, 14.9, | ,  4000,  3882,  1000,   983, | , -3.4, -2422.0, -21.916, |, 0.0
68.6, 1.4, | , 24.5, 0.0, 14.7, | ,  4000,  3881,  1000,   971, | , -3.4, -2422.0, -21.858, |, 0.0
